Account,Token Account,Quantity,Percentage
HzmCyp8dJFwRxCwwBrSYr1Hg6u4HVBMxrv79cs953YVu,F7a587Yu7GrmqPYYbmzdP7Mjy4zXxbRQN3Si3M89Nso9,51053.261063,0.01
HNVkTRzbFo4AuvSPE961VMuDs2rfUELgkzvrgLk7e3k3,Gj4mV9MzVbMMCeANAM4KnJmTsgZSL9D7MP7bffdKtH9c,38149.198559,0.00
DXooLWtjYgHw7ddHJeQKCPxBjSMhtDmUbKs4yTyzdsjw,DXqgwTVKPTsg5BwmSkoPfsHhqsXrQbP86vjGN9kAHySW,35652.355848,0.00
3K6pXpFHS5wqJAmgRTUMguHB8VTcoP82TAGX577MMMCG,c6g4toXykfCdLedpYmYK9zCwXMaTCSwV2MLyWHVcSbk,33086.920698,0.00
D1yUafD1ZT2GTGa4wTarkWzGHY1FQCaDLDXV8sCNE5kR,F33wre2rVmu8Wpx4d7x1SB4jyhWefX8e6qGsPKp9zrSJ,20431.710272,0.00
EiFNqJ7uX95As6XRa3swWYDzaRg8oq5sfwVhBTHUAxuj,CDbPgjncd3wwSm4AqohLH2wzZan5VBye8TzxjhY4wpBa,18079.161538,0.00
G7PHPkZQzAAdR8ZbcxmMD7763gngWnFWTFAwiGMxs7hF,5CQ8qvbDstXyHPBNgnTvL2391S3ZgooJDvcCwaQgZpgY,15363.218151,0.00
6kkWeBA42zHYkjtuc3H4dWCKoMxCZ5zB2phLRUUVxX2Y,Hev3CDhbrpLV7abpVRZSBYMUWF9G2a3ZD9BjuMXghnv,15254.347936,0.00
BCwPiUzYYLs6svSyXqbo4xfs2xbpVoS6XXCEj8LmFX8M,5833xKjr3zbNksP9uFrwrHrJpWjnozBu4EWSzzWAGMKL,14038.609002,0.00
BRYjexksMSJLRu6CyrzDRFj6TgVAu54p2jHbRB7AiPHV,Ff4hJ7D7i9kU6twSbvWNFLkuncogqjsiVC638rApPQra,13255.017395,0.00
Bbv8Z2Lc36g6QWhzhrmmZrZ7K3ndj59KksGFwbEsrtwz,2nJHouBoKKVxRfbJv88aNbxEYBpqKd3CvbmkimXYsbWW,13171.356842,0.00
6qZrJbfsGMfcXY26W5R1k759JbeC1knV9S2RFmRDewb5,DBqQnefuu6xaZAA9ffexWio9rJBj1SHgfvanWusttyr3,13063.130216,0.00
FdL4HNPJQHgYnoTQrHrF1oKyudYsbP4YiZtSmb196NKY,4XNEYPYE5dTTwokBsHDuSJCJ5v8kfsk8dn2LgxUtCumg,11885.882368,0.00
FBYmU5XbRgX2DV2i2SpPPpHpXmf6mdZS98wQChmUyMba,7R7HcVYQnJoiaB3AaSwnpBCLsExd1xEzFTQ4FY9Jdek2,10636.245674,0.00
5Bkn5eoRvDiZMwv7kLqpvbfNxHW9qaBft2GQnzRHxzWs,6QrwMHrBwWArbHUsKBn7RAoZygTeL5ccxESknMVwxJdV,10512.152047,0.00
EuLnJF2C4y7hwUJBAaUSP3aCym71PSVjc5gDbeVciiZV,HjECC8K58o7nRMT6ApaM2BvbDtPB16vGLXujxJjMw1vH,10001.10541,0.00
q1rN7siNWnjbAJPbJr6gbFhi4vPVJnYWiqNCxxY66Zo,HGKJob6fNkTEpuWiTVPQ2QLJM8KUN4fGQbvYMVrozGrH,9018.380573,0.00
8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf,7vNj1nuCkebry6RpLM7TzuEJb2eCiHrLq7vqKrzpBoaW,7242,0.00
DSN3j1ykL3obAVNv7ZX49VsFCPe4LqzxHnmtLiPwY6xg,2vTQbVjq4nwMfNeyo6br5cfQxx8ZdfTDZwzi16FfF5ix,5237.57198,0.00
3Aid9eNGM2Vm5VT1GRkytNTZcut56VoLTQxh3221G9By,DduBH6gzZpgigV4hW2uH6WRg2jE8xvSGxJXBTfbFAWEH,3940.200125,0.00
7iWnBRRhBCiNXXPhqiGzvvBkKrvFSWqqmxRyu9VyYBxE,EUVXm89922FkXpoNK1fw9zGh5XiSGiQ4AZNYNZtrqrWu,3156.871024,0.00
AkTgH1uW6J6j6QHmFNGzZuZwwXaHQsPCpHUriED28tRj,F6fRe2pCXW7apVMRNybD7qMwmBcdxv2cYg794S6LiRti,2677.630519,0.00
8MmEgLaMjCcnm8XdAHLbB7aUfrs2JB8q9uAdsMpVJ16n,7rSSTsp9JyDgCg5qUcZWKutkuxB4Nk23icrQW6yGs3Ze,2250.201942,0.00
HbjAi2iadFV3KFFAeGWe8uWZZVqUU5PYsyMbk6tkAAHZ,BMAVPr363uYT4ro89ArNCVftWupE42vd3V9y1PZqfJx3,1310.824093,0.00
8rrvg93uepeMqnpEHSinKnbS1W8Gq3YHR718prjSe8FN,7ub6PdqoEsbfhViDZrJHf5KiDwzy1kce4DUV4FwLGjYB,754.880144,0.00
3CgvbiM3op4vjrrjH2zcrQUwsqh5veNVRjFCB9N6sRoD,J5gUuVhTNhxXZ5aW9JdnuBxD8ADvMdBxVGusJ546wdph,560.092954,0.00
GP8StUXNYSZjPikyRsvkTbvRV1GBxMErb59cpeCJnDf1,2mzT2QRbL5aNAWzf2t6R6AVR4nhnPWe3W9oshveqiJWA,425.375843,0.00
FjroRGa2NCvatTzVxARnuGmPWcoLddVxf5uxcFUHixeg,EGXKcR6KRjtPUonK24kyNJoaEPJUh7b4pTj9teAPckxS,390.07507,0.00
36rUq2c3JcfiKdnjSkWp2YCaxRygZPNetFKnDCmM2q1G,4bk1cG1yg5Dro7eAFFPjuewUMJVFfKBo12LNxMwR8H7X,366.586649,0.00
HU23r7UoZbqTUuh3vA7emAGztFtqwTeVips789vqxxBw,DjgG12eKw8v8qMi7ncB5W7nGQi5ZbCj8U92X8LK8BPNk,351.77391,0.00
2G4roZTbDj4KyaxeF81dSrT3wDKRdUCAANFPhzTRucqW,DYaKuExagrz29mVW7gF4gnYQLCFJMmbBYsVCEsFZqFdz,300.883841,0.00
HFqp6ErWHY6Uzhj8rFyjYuDya2mXUpYEk8VW75K9PSiY,EdR37WZWcU75A3dLvw3hTdFeMR3jgvZBgtyg3rADQWSr,78.259413,0.00
3b3zfYBQ61sEicY4bhQMKUvRo9bAxPYAz32uyAP9Cj9u,4Pq6a7zMkETWiaVtTgBVtpRpM6DfVD9Q5A6QLd3D8n5C,31.281068,0.00
5kFw97ESAFNTsnDzmprQdZ2kfibp53QmxxSZnxx6yS8U,BMZD71itBwsrjeajuJ6tHXs7F1o52pskbo3gFXS7gp3C,0.935176,0.00
AygFGFtBeuEADUY5mADkFLzYeN73Mc7ymdqEYPJV7fXz,5unZSVycNdzoCCv2ehwMAcAhzpnNzA2g67tiPXQfa5aB,0.801337,0.00
CkUZV387xnoGpF7wC2moMa6mPmAgCvTT4pWgzq4M9fCD,AksRyKxaQFcmdEeVdb2DK6irBiKZmjPaJp5LNPQFRa9B,0.000127,0.00
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,HVZQJfiKvdAJ7YEAxJ2pNzLUTt3SMnGWW54KBw2r54ma,0.000009,0.00
D9A9NvXsC9iLoBFp1AakJCEwzZc51UJP3XRip4nfjcWb,62Mx2xtasyxffbUEJtJMKpBLr6mDdfgjp1mdSTovhvFa,0.000001,0.00
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,DZ9QTseP1E8rRiCMLSZCLVNfAYyQVPesinWSYmwjDP6x,0.000001,0.00
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,C4kMFMUy62vD9Xc1wgEPebzkkJBq5KfLLnXb2niQZEg9,0.000001,0.00
